Year,Oil and gas,Transport,Buildings,Electricity,Heavy industry,Agriculture,Waste and others
1990,100.5,118.4,72.1,94.7,98.8,49.4,54.7
1991,100,113.8,71.4,96.1,98.6,49.5,52.6
1992,108.6,115.9,73.3,102.5,96,51.6,51.3
1993,115.4,118.8,76.9,93.2,95.2,52.8,49.5
1994,119.2,124.9,77.2,95.2,100.7,54.5,50.2
1995,125.3,127,78,98.2,101.5,56.9,52.2
1996,133.5,129.7,84.3,98.2,104.6,58.5,52.1
1997,134.8,133.9,81.8,109.5,104.2,59.3,52.9
1998,139.5,137,73.5,122.2,100.1,59.4,50.8
1999,148.1,141.1,77.4,119.2,97.4,59.5,51.9
2000,153.4,142.2,83.9,129.1,96.8,60.5,53.4
2001,154.7,142.3,80.6,129.3,91.4,60.2,51.7
2002,159.1,144.5,84.9,123.6,91.8,59.7,52
2003,163.2,149.6,90.2,127.4,90.5,61.6,51.7
2004,165.3,154.3,88.7,119,93.8,62.7,52.8
2005,168.3,156.8,84.8,117.6,89,63.6,52.1
2006,174.6,157.7,79.7,111.6,88.7,62.3,50.7
2007,179.8,162.7,85.5,119.7,87.4,62.4,50.6
2008,176.5,163.2,85.4,108.9,85.9,61.9,48.9
2009,173.8,162,83.9,93.8,72.5,59.2,44.4
2010,179.3,165.5,81.5,94.6,75.7,59.4,45.9
2011,184.8,164.4,86,86.9,81.8,60.2,47.2
2012,192.1,164.6,84.5,83.3,81.8,62.5,47.5
2013,196.8,167.1,85.7,79.7,80.5,64.4,48.9
2014,202.4,164.7,86.2,76.3,80.9,63.4,46.3
2015,203.1,162.6,85.3,78.9,80.6,65,47.5
2016,191.5,162.4,84.9,74.3,78,66,48
2017,194,165.4,87.7,72.6,77.3,66.5,48.7
2018,202.5,169.3,92.4,62.7,79.6,68.5,49.6
2019,201.3,170.2,93.3,61.6,78.8,69,49.6
2020,183.4,143.2,89.1,53.7,73.6,69.8,46.1
2021,189.2,150.1,87.2,51.7,76.8,68.5,47
