Products and product groups 5,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All-items,95.4,97.8,100,102.8,104.7,107,109.1,111.5,114.1,114.4,116.5,119.9,121.7,122.8,125.2,126.6,128.4,130.4,133.4,136,137,141.6,151.2
Food 5,93.3,97.4,100,101.7,103.8,106.4,108.9,111.8,115.7,121.4,123.1,127.7,130.8,132.4,135.5,140.5,142.6,142.7,145.3,150.2,153.7,157.5,171.5
Shelter 6,95.6,99.1,100,103.2,105.8,109.2,113.1,116.9,122,121.6,123.3,125.6,127.1,128.7,132.2,133.7,135.8,138.1,140.9,144.5,147,152.7,163.3
"Household operations, furnishings and equipment",96.7,98.6,100,100.7,101.2,101.7,102.2,103.2,104.6,107.3,108.8,110.9,113,114.4,116.6,119.7,121.7,121.9,123.2,123.6,123.8,125.2,130.9
Clothing and footwear,100.3,100.7,100,98.2,98,97.6,95.8,95.7,93.8,93.4,91.6,91.9,92,92.1,93.2,94.6,94.4,93.7,94.5,96.1,94.4,94.1,95.4
Transportation,97.2,97.3,100,105.2,107.7,112,115.2,117.1,119.5,113.1,118,125.6,128.1,129,130.4,126.5,127.9,132.9,139.1,141.5,141.2,151.4,167.5
Gasoline,103.5,100.8,100,106.4,117.6,132.6,139.8,146.1,164.7,135.8,148.2,177.8,182.3,183.4,183.8,153.4,144.2,161.2,181.5,170.5,146.7,192.4,247.2
Health and personal care,97,98.9,100,101.4,102.8,104.6,105.9,107.3,108.8,112.1,115.1,117.1,118.7,118.3,119,120.5,122.2,124.3,125.9,127.4,129.2,132.6,138
"Recreation, education and reading",97,98.4,100,100.8,101.1,100.8,100.6,101.8,102.2,103.1,104,105.3,105.9,106.2,107.4,109.4,111.3,114,115.3,116.8,115.7,117.9,123.5
"Alcoholic beverages, tobacco products and recreational cannabis",79,85,100,110.1,116,119.1,121.7,125.5,127.5,130.7,133.1,135.6,137.6,140.4,146.6,152,156.8,161.1,167.9,171.1,171.9,175,181.3
All-items excluding food and energy 7,95.5,97.3,100,102.5,103.9,105.3,106.9,109,110.3,111.5,112.9,114.7,116.2,117.2,119,121.2,123.5,125.5,127.9,130.5,132,135.1,141.8
All-items excluding energy 7,95,97.3,100,102.4,103.8,105.4,107.2,109.5,111.3,113.3,114.8,117,118.8,119.9,122,124.6,126.9,128.5,131,134,135.8,139,146.9
Energy 7,98.8,102,100,107.9,115.2,126.3,132.8,135.9,149.3,129.2,137.8,154.7,157.3,159.6,165.3,149.5,145,152.7,162.9,159.3,147.2,175,214.4
Goods 8,96,98.4,100,101.9,103.4,105.8,107.1,108,109.4,107.6,109.2,112.9,114,114.6,116.5,116.8,117.9,118.9,121.1,122.7,122.5,128.3,139.4
Services 9,94.8,97.1,100,103.6,105.9,108.2,111.1,114.8,118.7,121.2,123.7,126.7,129.3,131,133.7,136.4,138.9,142,145.8,149.2,151.3,154.8,162.6
